"","GeneSymbol","A_plus_1","A_plus_2","A_plus_3","A_minus_1","A_minus_2","A_minus_3","B_plus_1","B_plus_2","B_plus_3","B_minus_1","B_minus_2","B_minus_3","A_plus_1_48","A_plus_2_48","A_plus_3_48","A_minus_1_48","A_minus_2_48","A_minus_3_48"
"706","SLC4A1AP",7.1288,5.95782,0,10.3463,12.6792,0,6.71978,7.82359,0,7.68765,11.3695,0,5.63786,7.2909,0,7.57683,9.78179,0
"707","ATP5F1C",5.21929817623342,5.29598264547361,2.82374322808519,7.54405836730268,2.83587490999824,2.82374322808519,6.44890719049674,5.10532405693391,2.82374322808519,4.04008712316295,5.54869611062428,24.9312300448627,4.8269027508254,6.89172045095958,2.82374322808519,3.02159273227685,5.25352907811573,2.82374322808519
"708","TMEM214",9.71031,9.78243,0,5.80493,7.46824,0,10.1601,8.08025,0,7.49843,6.63388,0,7.49904,9.7164,0,9.65614,7.98984,0
"709","VTA1",4.07463416002557,4.15325616617154,4.2488309887466,5.61560768998261,3.24804962921144,4.2488309887466,4.95719742719561,7.34744068585168,4.2488309887466,1.94290773827232,4.73828855338876,4.2488309887466,8.45915705721065,3.29595417023896,6.51986014162443,8.37782321794543,10.4684288141199,9.78824668982969
"710","LBR",0.543900465009041,4.61623464082255,4.24266204595835,9.72964648657921,8.09794319824504,4.24266204595835,2.77211054918711,1.85371559721939,12.8539385782877,5.67054992155041,5.22086744467332,4.24266204595835,4.71524693692102,8.77016631421733,4.24266204595835,9.5853034491373,4.28310150434587,4.24266204595835
"711","DCTN2",4.33000330495659,7.39693325253298,4.20244845241918,4.63088239157241,5.16580016359365,13.0937054005814,3.81901169110821,5.78060891774744,4.20244845241918,7.36190911458686,6.65811999587905,4.20244845241918,2.69356279523941,5.75779872497986,4.20244845241918,10.0302355913795,2.32048041666692,4.20244845241918
"712","CSTF3",4.54860952968137,5.43099710954592,16.8062322341323,6.31901992971089,7.33336300884844,0.726000311015283,5.93240698234846,3.90246321267693,0.726000311015283,5.68395834404507,6.5945476537546,9.76253414534091,3.24575906386268,5.19996292871777,10.8151946928796,5.23312639772306,2.14364555050827,0.726000311015283
"713","AARS2",9.59261064707862,9.75755286357844,4.42765147781046,-1.48450087879655,1.6345516951298,11.5569166937212,7.76394554509399,7.60316923004349,4.42765147781046,7.5115201396212,4.70290893866031,4.42765147781046,5.61352702314647,6.31788353958229,4.42765147781046,4.73281250015576,2.59786216714272,4.42765147781046
"714","SAR1B",4.59366211957328,4.60546811451286,3.95137401662303,4.93266166629659,3.18240541766138,11.314795594365,6.23806617083869,3.94695959772048,6.77669563960912,5.39022355449005,5.54530892248273,3.95137401662303,6.72709676695531,6.45922687591453,3.95137401662303,5.29837992729427,9.21565553075672,3.95137401662303
"715","HDGF",9.90598,11.0596,0,4.94515,8.47716,0,8.93908,8.42114,0,6.83016,7.31642,0,9.59632,9.44073,0,9.25625,5.81198,0
"716","RPL30",6.02401648719887,5.48533368765254,4.93469536245379,5.83207384734192,6.5189001703058,6.92242346473544,4.80885253322769,5.42747129301766,4.93469536245379,5.28587254213325,4.34206403254079,4.93469536245379,4.91821886496884,6.00865117743744,4.93469536245379,7.57216467599576,7.29433134811925,4.93469536245379
"717","COX5B",7.54569396703425,9.07258811519137,2.42693418577729,2.25184239852429,3.74540073953368,2.42693418577729,6.57675871025243,4.89808208637037,9.94580259326621,5.49300266643357,3.24312439655612,2.42693418577729,2.97486696378096,5.03092004677385,8.95648538424668,7.2360696637111,6.25814355844128,9.77772814371991
"718","EEF1B2",4.96780131649913,6.43111325587774,6.49749621165309,6.70804639124609,4.6786970995453,6.05865923849509,7.15356634671592,6.67422456858035,4.31444493628586,4.89777718633585,6.0956164122013,8.22666136982071,3.27192141169015,3.62173120844454,3.54095826159382,6.36918257459303,5.72615509197733,4.76633568273438
"719","ACP1",7.77784,8.21505,0,12.9117,10.4042,0,7.24229,7.40385,0,7.1989,9.34241,0,10.6006,7.9244,0,10.9674,0.0113514,0
"720","SEC31A",6.54497249859134,9.18489338444838,31.2657655902388,2.72348859215916,5.17608575179571,2.09170962855415,13.2898388462101,8.48087505708073,2.09170962855415,4.84812285974294,3.31083999791566,2.09170962855415,0.928106511996612,3.10047135285774,2.09170962855415,1.65468066039734,0.417388997714213,2.09170962855415
"721","RAP1B",4.98005209121542,5.93068588513606,4.89475118927691,7.02431244486183,4.91816843476065,4.89475118927691,6.59544081448231,5.50137020217548,4.89475118927691,5.58818977846298,6.26150801897988,4.89475118927691,3.99313039526645,4.40745167959859,7.27345036307636,6.03495122810441,7.94328133573218,4.89475118927691
"722","NUDCD1",4.50201840507875,3.28903072017214,2.30130444752014,3.81034890600589,5.88530722993586,29.4340597226762,3.95182315346588,6.84440825656956,2.30130444752014,5.13062718577707,4.4972692303034,2.30130444752014,4.36996520055501,4.25164657599459,2.30130444752014,8.40489955602696,5.5989445100301,2.30130444752014
